ts,elapsed,gpu_core,gpu_util,gpu_power,gpu_clock,gpu_vram,cpu_tctl,cpu_ccd1,pump_rpm,rad_rpm,rad_duty,f1_duty,f2_duty,f3_duty,f1_rpm,f2_rpm,f3_rpm
1787460718,0.8,51.0,5.0,58.69,1207.0,60.0,64.50000762939453,56.875003814697266,2166.93408203125,1760.104248046875,50.98039245605469,25,28,35,613,647,824
1787460719,2.3,51.0,6.0,57.93,1087.0,60.0,64.00000762939453,64.375,2163.46142578125,1762.402099609375,50.98039245605469,25,28,35,611,648,820
1787460721,3.8,51.0,6.0,58.72,1110.0,60.0,64.00000762939453,64.375,2163.46142578125,1762.402099609375,50.98039245605469,25,28,35,610,650,824
1787460722,5.3,52.0,4.0,83.37,2542.0,60.0,64.75000762939453,62.250003814697266,2166.93408203125,1781.002685546875,50.98039245605469,25,28,35,615,650,823
1787460724,6.8,52.0,4.0,83.91,2535.0,60.0,64.75000762939453,62.250003814697266,2166.93408203125,1781.002685546875,50.98039245605469,25,28,35,615,650,823
1787460725,8.3,51.0,4.0,56.55,1042.0,60.0,62.25000762939453,55.375003814697266,2160.0,1767.0157470703125,50.98039245605469,25,28,35,611,649,821
1787460727,9.8,51.0,7.0,56.84,1012.0,60.0,62.25000762939453,55.375003814697266,2160.0,1767.0157470703125,50.98039245605469,25,28,35,613,649,819
1787460728,11.3,51.0,5.0,56.66,1020.0,60.0,58.87500762939453,52.125003814697266,2166.93408203125,1760.104248046875,50.98039245605469,25,28,35,614,650,824
1787460730,12.8,51.0,6.0,56.54,937.0,60.0,58.87500762939453,52.125003814697266,2166.93408203125,1760.104248046875,50.98039245605469,25,28,35,613,648,819
1787460731,14.3,51.0,5.0,56.31,892.0,60.0,57.37500762939453,49.500003814697266,2163.46142578125,1760.104248046875,50.98039245605469,25,28,35,612,647,823
1787460733,15.8,51.0,8.0,61.79,1200.0,60.0,56.75000762939453,51.625003814697266,2170.41796875,1755.526611328125,50.98039245605469,25,28,35,612,645,819
1787460734,17.3,51.0,6.0,57.14,1072.0,60.0,56.25000762939453,54.500003814697266,2163.46142578125,1762.402099609375,50.98039245605469,25,28,35,608,649,817
1787460736,18.8,51.0,6.0,56.39,960.0,60.0,55.87500762939453,53.125003814697266,2160.0,1760.104248046875,50.98039245605469,25,28,35,609,651,818
1787460737,20.3,51.0,10.0,57.32,1005.0,60.0,54.87500762939453,52.625003814697266,2160.0,1744.18603515625,50.98039245605469,25,28,35,611,647,820
1787460739,21.8,51.0,7.0,55.78,982.0,60.0,54.75000762939453,52.625003814697266,2163.46142578125,1746.4423828125,50.98039245605469,25,28,35,612,651,824
1787460740,23.3,51.0,7.0,56.48,997.0,60.0,54.62500762939453,53.625003814697266,2160.0,1773.9815673828125,50.98039245605469,25,28,35,613,647,823
1787460742,24.8,51.0,5.0,56.9,915.0,60.0,54.25000762939453,55.000003814697266,2160.0,1760.104248046875,50.98039245605469,25,28,35,612,647,821
1787460743,26.3,51.0,7.0,57.66,1035.0,60.0,54.25000762939453,54.500003814697266,2166.93408203125,1744.18603515625,50.98039245605469,25,28,35,614,650,824
1787460745,27.8,51.0,9.0,60.33,1117.0,60.0,54.12500762939453,54.250003814697266,2166.93408203125,1776.3157958984375,50.98039245605469,25,28,35,609,647,823
1787460746,29.3,51.0,6.0,57.6,1035.0,60.0,54.50000762939453,49.250003814697266,2170.41796875,1762.402099609375,50.98039245605469,25,28,35,611,647,820
1787460748,30.8,51.0,5.0,56.02,1050.0,60.0,54.37500762939453,54.000003814697266,2166.93408203125,1741.9354248046875,50.98039245605469,25,28,35,610,649,819
1787460749,32.3,50.0,3.0,48.97,697.0,60.0,55.50000762939453,48.625003814697266,2170.41796875,1778.6561279296875,50.98039245605469,25,28,35,610,650,824
1787460751,33.8,51.0,0.0,55.96,2490.0,60.0,55.62500762939453,56.375003814697266,2170.41796875,1755.526611328125,50.98039245605469,25,28,35,610,651,824
1787460752,35.3,51.0,1.0,79.75,2490.0,60.0,56.75000762939453,57.000003814697266,2160.0,1760.104248046875,50.98039245605469,25,28,35,615,647,823
1787460754,36.8,51.0,3.0,58.34,1012.0,60.0,60.00000762939453,53.625003814697266,2166.93408203125,1762.402099609375,50.98039245605469,25,28,35,612,647,819
1787460755,38.3,52.0,26.0,88.04,2692.0,60.0,59.75000762939453,59.250003814697266,2166.93408203125,1776.3157958984375,50.98039245605469,25,28,35,612,650,823
1787460757,39.8,53.0,34.0,111.89,2722.0,60.0,59.12500762939453,51.375003814697266,2160.0,1739.690673828125,50.98039245605469,25,28,35,612,650,821
1787460758,41.3,52.0,4.0,108.25,2557.0,60.0,58.25000762939453,59.625003814697266,2160.0,1778.6561279296875,50.98039245605469,25,28,35,612,648,821
1787460760,42.8,52.0,4.0,83.89,2527.0,60.0,58.00000762939453,63.250003814697266,2163.46142578125,1760.104248046875,50.98039245605469,25,28,35,609,649,819
1787460761,44.3,52.0,4.0,84.35,2535.0,60.0,57.62500762939453,49.500003814697266,2166.93408203125,1762.402099609375,50.98039245605469,25,28,35,614,653,824
1787460763,45.8,52.0,5.0,86.82,2572.0,60.0,57.00000762939453,51.750003814697266,2166.93408203125,1781.002685546875,50.98039245605469,25,28,35,609,648,823
1787460764,47.3,52.0,7.0,90.51,2625.0,60.0,57.00000762939453,51.750003814697266,2166.93408203125,1781.002685546875,50.98039245605469,25,28,35,610,648,817
1787460766,48.8,52.0,8.0,90.73,2602.0,60.0,61.12500762939453,55.000003814697266,2166.93408203125,1760.104248046875,50.98039245605469,25,28,35,612,650,820
1787460767,50.3,52.0,7.0,89.9,2602.0,60.0,61.12500762939453,55.000003814697266,2166.93408203125,1760.104248046875,50.98039245605469,25,28,35,613,647,819
1787460769,51.8,52.0,3.0,85.49,2527.0,60.0,63.50000762939453,56.375003814697266,2166.93408203125,1744.18603515625,50.98039245605469,25,28,35,612,651,823
1787460770,53.3,52.0,4.0,83.88,2535.0,60.0,63.50000762939453,56.375003814697266,2166.93408203125,1744.18603515625,50.98039245605469,25,28,35,614,651,824
1787460772,54.8,52.0,4.0,84.06,2527.0,60.0,58.75000762939453,49.250003814697266,2166.93408203125,1757.8125,50.98039245605469,25,28,35,612,648,820
1787460773,56.3,52.0,4.0,84.33,2535.0,60.0,58.75000762939453,49.250003814697266,2166.93408203125,1757.8125,50.98039245605469,25,28,35,614,650,819
1787460775,57.8,52.0,3.0,84.16,2527.0,60.0,55.62500762939453,49.000003814697266,2160.0,1757.8125,50.98039245605469,25,28,35,612,650,821
1787460776,59.3,52.0,4.0,82.75,2520.0,60.0,55.62500762939453,49.000003814697266,2160.0,1757.8125,50.98039245605469,25,28,35,613,647,823
1787460778,60.8,52.0,3.0,84.37,2535.0,60.0,54.00000762939453,51.750003814697266,2166.93408203125,1760.104248046875,50.98039245605469,25,28,35,612,650,823
1787460779,62.3,52.0,4.0,84.14,2542.0,60.0,54.00000762939453,51.750003814697266,2166.93408203125,1760.104248046875,50.98039245605469,25,28,35,612,647,819
1787460781,63.8,55.0,38.0,99.23,2767.0,60.0,53.75000762939453,49.750003814697266,2156.549560546875,1757.8125,50.98039245605469,25,28,35,612,650,820
1787460782,65.3,57.0,43.0,199.35,2857.0,60.0,54.75000762939453,55.125003814697266,2166.93408203125,1584.507080078125,42.74509811401367,25,28,35,613,649,825
1787460784,66.8,57.0,42.0,200.26,2857.0,62.0,54.00000762939453,53.250003814697266,2160.0,1534.0909423828125,42.74509811401367,25,28,35,612,645,823
1787460785,68.3,58.0,45.0,200.23,2857.0,62.0,54.12500762939453,55.375003814697266,2160.0,1560.693603515625,42.74509811401367,25,28,35,614,649,821
1787460787,69.8,58.0,44.0,204.19,2857.0,62.0,57.25000762939453,52.625003814697266,2173.9130859375,1569.7674560546875,42.74509811401367,25,28,35,613,648,824
1787460788,71.3,58.0,45.0,204.3,2857.0,62.0,57.00000762939453,53.125003814697266,2166.93408203125,1555.299560546875,42.74509811401367,25,28,35,612,650,828
