ts,elapsed,gpu_core,gpu_util,gpu_power,gpu_clock,gpu_vram,cpu_tctl,cpu_ccd1,pump_rpm,rad_rpm,rad_duty,f1_duty,f2_duty,f3_duty,f1_rpm,f2_rpm,f3_rpm
1787462946,0.9,43.0,2.0,71.32,2025.0,52.0,58.75000762939453,54.750003814697266,2160.0,1864.640869140625,54.90196228027344,64,64,76,1507,1336,1518
1787462947,2.4,42.0,4.0,49.84,825.0,52.0,57.37500762939453,56.750003814697266,2166.93408203125,1880.222900390625,54.90196228027344,64,64,76,1503,1327,1526
1787462949,3.9,43.0,14.0,50.67,817.0,52.0,57.37500762939453,56.750003814697266,2166.93408203125,1880.222900390625,54.90196228027344,64,64,76,1515,1327,1518
1787462950,5.4,42.0,3.0,51.08,930.0,52.0,57.37500762939453,54.375003814697266,2170.41796875,1869.80615234375,54.90196228027344,64,64,76,1511,1321,1526
1787462952,6.9,43.0,11.0,50.01,1027.0,52.0,57.12500762939453,54.375003814697266,2170.41796875,1869.80615234375,54.90196228027344,64,64,76,1503,1321,1530
1787462953,8.4,42.0,3.0,48.58,675.0,52.0,57.00000762939453,58.000003814697266,2166.93408203125,1846.7852783203125,54.90196228027344,64,64,76,1503,1327,1522
1787462955,9.9,43.0,4.0,76.98,2505.0,52.0,57.12500762939453,53.625003814697266,2173.9130859375,1864.640869140625,54.90196228027344,64,64,76,1500,1333,1518
1787462956,11.4,43.0,4.0,75.72,2137.0,52.0,69.00000762939453,79.125,2163.46142578125,1864.640869140625,54.90196228027344,64,64,76,1507,1327,1518
1787462958,13.4,43.0,9.0,55.03,1170.0,52.0,70.25000762939453,61.875003814697266,2163.46142578125,1864.640869140625,54.90196228027344,64,64,76,1515,1333,1526
1787462960,14.9,43.0,4.0,80.13,2542.0,52.0,67.50000762939453,69.625,2166.93408203125,1893.4080810546875,54.90196228027344,64,64,76,1511,1324,1522
1787462961,16.4,43.0,3.0,78.1,2527.0,52.0,67.50000762939453,69.625,2166.93408203125,1893.4080810546875,54.90196228027344,64,64,76,1526,1327,1526
1787462963,17.9,43.0,4.0,60.85,1162.0,52.0,64.00000762939453,58.125003814697266,2163.46142578125,1864.640869140625,54.90196228027344,64,64,76,1500,1321,1518
1787462964,19.4,43.0,5.0,54.23,1125.0,52.0,63.50000762939453,58.625003814697266,2163.46142578125,1864.640869140625,54.90196228027344,64,64,76,1507,1327,1518
1787462966,20.9,43.0,6.0,52.97,1020.0,52.0,63.12500762939453,61.375003814697266,2170.41796875,1844.2623291015625,54.90196228027344,64,64,76,1496,1327,1518
1787462967,22.4,42.0,6.0,53.15,1005.0,52.0,63.62500762939453,61.375003814697266,2156.549560546875,1844.2623291015625,54.90196228027344,64,64,76,1503,1327,1518
1787462969,23.9,43.0,5.0,53.49,997.0,52.0,62.50000762939453,63.500003814697266,2166.93408203125,1864.640869140625,54.90196228027344,64,64,76,1511,1330,1518
1787462970,25.4,43.0,3.0,66.92,2542.0,52.0,62.50000762939453,60.875003814697266,2160.0,1864.640869140625,54.90196228027344,64,64,76,1511,1318,1515
1787462972,26.9,43.0,3.0,76.52,2535.0,52.0,61.12500762939453,58.125003814697266,2160.0,1841.7462158203125,54.90196228027344,64,64,76,1511,1330,1518
1787462973,28.4,43.0,4.0,53.4,1050.0,52.0,61.00000762939453,56.750003814697266,2160.0,1841.7462158203125,54.90196228027344,64,64,76,1500,1327,1515
1787462975,29.9,43.0,6.0,52.6,990.0,52.0,58.87500762939453,55.375003814697266,2166.93408203125,1867.219970703125,54.90196228027344,64,64,76,1511,1327,1515
1787462976,31.4,43.0,4.0,50.66,930.0,52.0,58.37500762939453,54.500003814697266,2166.93408203125,1862.0689697265625,54.90196228027344,64,64,76,1503,1327,1526
1787462978,32.9,43.0,6.0,50.68,885.0,52.0,58.37500762939453,54.500003814697266,2166.93408203125,1862.0689697265625,54.90196228027344,64,64,76,1500,1324,1522
1787462979,34.4,43.0,5.0,51.25,885.0,52.0,56.25000762939453,49.250003814697266,2156.549560546875,1844.2623291015625,54.90196228027344,64,64,76,1500,1327,1522
1787462981,35.9,43.0,5.0,50.8,892.0,52.0,56.25000762939453,49.250003814697266,2156.549560546875,1844.2623291015625,54.90196228027344,64,64,76,1503,1327,1526
1787462982,37.4,42.0,5.0,51.03,892.0,52.0,55.00000762939453,52.250003814697266,2166.93408203125,1867.219970703125,54.90196228027344,64,64,76,1507,1336,1522
1787462984,38.9,43.0,6.0,51.12,862.0,52.0,55.00000762939453,52.250003814697266,2166.93408203125,1867.219970703125,54.90196228027344,64,64,76,1496,1333,1522
1787462985,40.4,42.0,5.0,50.97,847.0,52.0,54.50000762939453,54.500003814697266,2173.9130859375,1890.75634765625,54.90196228027344,64,64,76,1500,1324,1515
1787462987,41.9,42.0,5.0,51.65,915.0,52.0,54.50000762939453,54.500003814697266,2173.9130859375,1890.75634765625,54.90196228027344,64,64,76,1500,1330,1515
1787462988,43.4,42.0,4.0,50.79,892.0,52.0,54.25000762939453,53.125003814697266,2163.46142578125,1867.219970703125,54.90196228027344,64,64,76,1500,1324,1526
1787462990,44.9,42.0,5.0,51.88,900.0,52.0,54.25000762939453,53.125003814697266,2163.46142578125,1867.219970703125,54.90196228027344,64,64,76,1507,1327,1522
